mxm_tid,a_name,title
4280619,Lena Philipsson,006
674743,Shawn Colvin,(Looking for) The Heart of Saturday Night
8851472,Dying Fetus,Ethos of Coercion
9855482,Emery,Rock-N-Rule
610698,Rev. Timothy Wright,I Made It Over
1860322,Martin Sexton,In the Journey
2124234,Aerosmith,I'm Ready
1093778,Skinlab,Take as Needed
1078688,Prince & The Revolution,Raspberry Beret
1071669,Kreator,All of the Same Blood
3254947,Toots & The Maytals,Night and Day
7264035,Neffa,Passione
3465039,Billy Idol,Scream
1001510,Out of the Grey,He Is Not Silent
755404,Diana Krall,Dancing in the Dark
6821012,Clifford T. Ward,Mad About You
1724033,Joe Diffie,Ships That Don't Come In
730669,Aerosmith,Remember (Walking in the Sand)
9668137,Alpha 5.20,Pression Sanguine
686792,Soulfly,Bring It
1576953,Warren Zevon,The Rest of the Night
9933245,Write This Down,Redemption
1303365,Radio Macandé,Dame Tus Besos
8859768,Diablo Swing Orchestra,Lucy Fears the Morning Star
5491830,Kingdom Come,Two Legged Sheep
1915683,Gemelli Diversi,Chi sei adesso
7333180,A.Human,Pacey Singer
7749204,Tiësto vs. Cary Brothers,Ride (Tiesto remix)
6310504,Luis Eduardo Aute,What Matters Is Just You
6155293,Retard-O-Bot,Something for Nothing
1765742,Mark Wills,High Low and in Between
7882687,Roberto Carlos,Detalles
1322000,Fine China,Rock Can't Last Forever
1303175,Bacilos,Viejo
2797188,The Bonzo Dog Band,Kama Sutra
653426,Link 80,What Can I Do?
1410926,White Willow,Gnostalgia
4279431,Robbie Williams,Sin Sin Sin
1918767,Red Animal War,Dark Country
6543947,Underworld,Ring Road
9139662,Brian Vander Ark,And Then You Went Away
9008366,Katatonia,Day and Then the Shade
1805293,David Ryan Harris,Nothing More to Say
1785627,Steve Taylor,Whatcha Gonna Do When Your Number's Up?
3925282,Teairra Marí,Make Her Feel Good
1466203,Morrissey,Margaret on the Guillotine
1550751,Pestilence,Presence of the Dead
6228678,Biffy Clyro,Love Has a Diameter
692229,Johnny Cash,Rowboat
5226988,New York Rel-X,Sold Out Of Love
9761524,Foals,Black Gold
6505358,Visací zámek,Traktor
7571178,Bryn Christopher,Smilin'
6498653,Boney M.,Gotta Go Home
833865,Thursday,A Hole in the World
11125719,Janie Fricke,Your Heart's Not In It
6551181,The Cult,Stand Alone
6158504,Leonard Cohen,Tonight Will Be Fine
2737569,Falco,Zuviel Hitze
6722450,Operator Please,Pantomime
865066,The Cranberries,Do You Know
4595425,Martina McBride,You Win Again
6749264,Michael Cera & Ellen Page,Anyone Else but You
10114267,Bone Thugs-n-Harmony,Wanna Be
1019566,E.G. Daily,Shake It Up
2823603,Russ Taff,I Cry
2461503,Brandy,Who I Am
7178887,3 Doors Down,Your Arms Feel Like Home
2738337,Cornelis Vreeswijk,Telegram för en tennsoldat
5470936,Brazilian Girls,Never Met a German
5180710,Gilberto Gil,Oriente
1546591,Marta Sánchez,Tiempo Al Tiempo
2105700,Raging Speedhorn,Knives And Faces
6848546,Leonard Cohen,Suzanne
8626884,Bethany Dillon,All I Need
6034507,The Chariot,Back to Back
5278919,Eläkeläiset,Humppakavalier
1258333,Steve Green,We Trust in The Name of The Lord Our God
9598704,Premiata Forneria Marconi,Chi ha paura della notte
1046219,Mark Lanegan,Sunrise
8661316,Nouvelle Vague,The American
7146887,The White Tie Affair,The Letdown
2969516,Carla Bozulich,I Couldn't Believe It Was True
1524729,Eastmountainsouth,Show Me the River
3797683,Frenzal Rhomb,You Can't Move Into My House
8161716,Alberto Fortis,L'uomo grande
2143075,J-Kwon,U Ain't Gotta Like Me
8566840,The Answering Machine,Emergency
4397385,Fito Páez,Tres agujas
2379735,Brook Benton,Lie to Me
2085990,Les Wriggles,Dieubouddhallah
6612739,Josh Turner,The Way He Was Raised
8548211,Crash Parallel,Long Night Dreaming
4253176,Slim Harpo,I've Got Love If You Want It
1435580,Boyd Tinsley,Perfect World
2116442,Trader Horne,Velvet to Atone
1196278,Billy J. Kramer,From a Window
3413177,Union 13,A Short Supply (Of Truth)
3050980,Helix,Animal House
5890968,Nação Zumbi,Voyager
3959813,End of Fashion,Hardcore
9347308,Dashboard Confessional,Morning Calls
10240529,Tristan Garner,Give Love
7458910,Black Sabbath,Wishing Well
2005930,Roger Creager,What's a Lonely Girl to Do
6389476,Bodies of Water,It Is Familiar
2119819,Entombed,Year One Now
2696058,Samantha Mumba,What's It Gonna Be
6866957,Jealousy,Lucy
5211539,Roger Daltrey,Would a Stranger Do?
6445226,Kanye West,Drunk and Hot Girls (feat. Mos Def)
8138595,Johnny Cash,Children Go Where I Send Thee
